Price,Close,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG,AGG
Date,,,,,,
2003-09-29,51.24280548095703,102.16999816894531,102.30000305175781,102.0999984741211,102.29000091552734,13600
2003-09-30,51.508644104003906,102.69999694824219,102.73999786376953,102.29000091552734,102.30000305175781,62600
2003-10-01,51.48354721069336,102.6500015258789,102.75,102.5999984741211,102.63999938964844,66300
2003-10-02,51.403297424316406,102.48999786376953,102.6500015258789,102.01000213623047,102.19999694824219,68900
2003-10-03,51.032142639160156,101.75,102.05000305175781,101.69999694824219,102.05000305175781,64500
2003-10-06,51.10736083984375,101.9000015258789,101.98999786376953,101.5999984741211,101.63999938964844,28700
2003-10-07,50.93183898925781,101.55000305175781,101.94000244140625,101.37999725341797,101.94000244140625,13000
2003-10-08,51.057193756103516,101.80000305175781,102.05000305175781,101.27999877929688,101.48999786376953,42700
2003-10-09,50.87665557861328,101.44000244140625,101.5,101.0999984741211,101.38999938964844,35900
2003-10-10,51.15751266479492,102.0,102.05000305175781,101.68000030517578,101.68000030517578,13500
2003-10-13,50.93183898925781,101.55000305175781,102.0999984741211,101.55000305175781,102.0,23700
2003-10-14,50.83154296875,101.3499984741211,101.58999633789062,101.13999938964844,101.44000244140625,54300
2003-10-15,50.706111907958984,101.0999984741211,101.23999786376953,100.9000015258789,101.18000030517578,23100
2003-10-16,50.57069778442383,100.83000183105469,101.55000305175781,100.55000305175781,101.38999938964844,62300
2003-10-17,50.81144714355469,101.30999755859375,101.30999755859375,100.75,101.04000091552734,55600
2003-10-20,50.781349182128906,101.25,101.47000122070312,101.13999938964844,101.13999938964844,12900
2003-10-21,50.881675720214844,101.44999694824219,101.7300033569336,101.38999938964844,101.38999938964844,49000
2003-10-22,51.10736083984375,101.9000015258789,101.94999694824219,101.51000213623047,101.75,25400
2003-10-23,50.98200225830078,101.6500015258789,101.87000274658203,101.6500015258789,101.83999633789062,20700
2003-10-24,51.23274230957031,102.1500015258789,102.1500015258789,101.80000305175781,101.80000305175781,28200
2003-10-27,51.13241958618164,101.94999694824219,102.12000274658203,101.80000305175781,102.04000091552734,35400
2003-10-28,51.333065032958984,102.3499984741211,102.3499984741211,101.80000305175781,101.80000305175781,16600
2003-10-29,51.10736083984375,101.9000015258789,102.0999984741211,101.9000015258789,102.08000183105469,71700
2003-10-30,51.10736083984375,101.9000015258789,101.95999908447266,101.77999877929688,101.79000091552734,17300
2003-10-31,51.027130126953125,101.73999786376953,101.9000015258789,101.4000015258789,101.9000015258789,31000
2003-11-03,50.93603515625,101.19999694824219,101.41999816894531,101.19999694824219,101.33000183105469,56700
2003-11-04,51.03668975830078,101.4000015258789,101.58000183105469,101.4000015258789,101.44999694824219,26900
2003-11-05,51.03668975830078,101.4000015258789,101.56999969482422,101.4000015258789,101.5,24600
2003-11-06,50.75986862182617,100.8499984741211,101.19000244140625,100.8499984741211,101.18000030517578,78000
2003-11-07,50.784996032714844,100.9000015258789,100.9000015258789,100.55000305175781,100.69000244140625,33400
